ra	 rp	 va	 vomega
4400.0	 10.0	 20269.265530	 103.999733
4410.0	 10.0	 20223.355470	 103.999465
4420.0	 10.0	 20177.652913	 103.999199
4430.0	 10.0	 20132.156456	 103.998934
4440.0	 10.0	 20086.864709	 103.998671
4450.0	 10.0	 20041.776291	 103.998408
4460.0	 10.0	 19996.889838	 103.998147
4470.0	 10.0	 19952.203994	 103.997886
4480.0	 10.0	 19907.717419	 103.997627
4490.0	 10.0	 19863.428783	 103.997369
4500.0	 10.0	 19819.336767	 103.997113
4510.0	 10.0	 19775.440065	 103.996857
4520.0	 10.0	 19731.737381	 103.996602
4530.0	 10.0	 19688.227433	 103.996349
4540.0	 10.0	 19644.908949	 103.996097
4550.0	 10.0	 19601.780666	 103.995846
4560.0	 10.0	 19558.841336	 103.995595
4570.0	 10.0	 19516.089719	 103.995346
4580.0	 10.0	 19473.524587	 103.995099
4590.0	 10.0	 19431.144723	 103.994852
4600.0	 10.0	 19388.948919	 103.994606
4610.0	 10.0	 19346.935979	 103.994361
4620.0	 10.0	 19305.104717	 103.994118
4630.0	 10.0	 19263.453958	 103.993875
4640.0	 10.0	 19221.982534	 103.993634
4650.0	 10.0	 19180.689291	 103.993393
4660.0	 10.0	 19139.573082	 103.993154
4670.0	 10.0	 19098.632772	 103.992915
4680.0	 10.0	 19057.867234	 103.992678
4690.0	 10.0	 19017.275351	 103.992442
4700.0	 10.0	 18976.856017	 103.992206
4710.0	 10.0	 18936.608133	 103.991972
4720.0	 10.0	 18896.530610	 103.991738
4730.0	 10.0	 18856.622370	 103.991506
4740.0	 10.0	 18816.882342	 103.991275
4750.0	 10.0	 18777.309465	 103.991044
4760.0	 10.0	 18737.902686	 103.990815
4770.0	 10.0	 18698.660962	 103.990586
4780.0	 10.0	 18659.583258	 103.990359
4790.0	 10.0	 18620.668547	 103.990132
4800.0	 10.0	 18581.915813	 103.989906
4810.0	 10.0	 18543.324046	 103.989682
4820.0	 10.0	 18504.892245	 103.989458
4830.0	 10.0	 18466.619418	 103.989235
4840.0	 10.0	 18428.504579	 103.989013
4850.0	 10.0	 18390.546754	 103.988792
4860.0	 10.0	 18352.744974	 103.988572
4870.0	 10.0	 18315.098278	 103.988352
4880.0	 10.0	 18277.605714	 103.988134
4890.0	 10.0	 18240.266337	 103.987917
4900.0	 10.0	 18203.079211	 103.987700
4910.0	 10.0	 18166.043406	 103.987484
4920.0	 10.0	 18129.158001	 103.987270
4930.0	 10.0	 18092.422081	 103.987056
4940.0	 10.0	 18055.834739	 103.986843
4950.0	 10.0	 18019.395076	 103.986631
4960.0	 10.0	 17983.102199	 103.986419
4970.0	 10.0	 17946.955223	 103.986209
4980.0	 10.0	 17910.953271	 103.985999
4990.0	 10.0	 17875.095470	 103.985790
5000.0	 10.0	 17839.380958	 103.985582
5010.0	 10.0	 17803.808877	 103.985375
5020.0	 10.0	 17768.378377	 103.985169
5030.0	 10.0	 17733.088613	 103.984963
5040.0	 10.0	 17697.938750	 103.984759
5050.0	 10.0	 17662.927956	 103.984555
5060.0	 10.0	 17628.055409	 103.984352
5070.0	 10.0	 17593.320291	 103.984149
5080.0	 10.0	 17558.721791	 103.983948
5090.0	 10.0	 17524.259104	 103.983747
5100.0	 10.0	 17489.931433	 103.983547
5110.0	 10.0	 17455.737986	 103.983348
5120.0	 10.0	 17421.677977	 103.983150
5130.0	 10.0	 17387.750627	 103.982952
5140.0	 10.0	 17353.955161	 103.982756
5150.0	 10.0	 17320.290813	 103.982560
5160.0	 10.0	 17286.756821	 103.982364
5170.0	 10.0	 17253.352428	 103.982170
5180.0	 10.0	 17220.076886	 103.981976
5190.0	 10.0	 17186.929451	 103.981783
5200.0	 10.0	 17153.909383	 103.981591
5210.0	 10.0	 17121.015950	 103.981399
5220.0	 10.0	 17088.248425	 103.981208
5230.0	 10.0	 17055.606087	 103.981018
5240.0	 10.0	 17023.088220	 103.980829
5250.0	 10.0	 16990.694112	 103.980640
5260.0	 10.0	 16958.423059	 103.980452
5270.0	 10.0	 16926.274361	 103.980265
5280.0	 10.0	 16894.247323	 103.980079
5290.0	 10.0	 16862.341256	 103.979893
5300.0	 10.0	 16830.555476	 103.979708
5310.0	 10.0	 16798.889304	 103.979523
5320.0	 10.0	 16767.342066	 103.979340
5330.0	 10.0	 16735.913094	 103.979157
5340.0	 10.0	 16704.601723	 103.978974
5350.0	 10.0	 16673.407295	 103.978793
5360.0	 10.0	 16642.329155	 103.978612
5370.0	 10.0	 16611.366655	 103.978432
5380.0	 10.0	 16580.519151	 103.978252
5390.0	 10.0	 16549.786003	 103.978073
5400.0	 10.0	 16519.166576	 103.977895
5410.0	 10.0	 16488.660241	 103.977717
5420.0	 10.0	 16458.266371	 103.977540
5430.0	 10.0	 16427.984347	 103.977364
5440.0	 10.0	 16397.813551	 103.977188
5450.0	 10.0	 16367.753373	 103.977013
5460.0	 10.0	 16337.803204	 103.976839
5470.0	 10.0	 16307.962443	 103.976665
5480.0	 10.0	 16278.230490	 103.976492
5490.0	 10.0	 16248.606752	 103.976319
5500.0	 10.0	 16219.090639	 103.976147
5510.0	 10.0	 16189.681566	 103.975976
5520.0	 10.0	 16160.378951	 103.975806
5530.0	 10.0	 16131.182217	 103.975636
5540.0	 10.0	 16102.090792	 103.975466
5550.0	 10.0	 16073.104106	 103.975297
5560.0	 10.0	 16044.221596	 103.975129
5570.0	 10.0	 16015.442700	 103.974962
5580.0	 10.0	 15986.766862	 103.974795
5590.0	 10.0	 15958.193529	 103.974628
5600.0	 10.0	 15929.722153	 103.974463
5610.0	 10.0	 15901.352189	 103.974297
5620.0	 10.0	 15873.083096	 103.974133
5630.0	 10.0	 15844.914337	 103.973969
5640.0	 10.0	 15816.845379	 103.973805
5650.0	 10.0	 15788.875693	 103.973643
5660.0	 10.0	 15761.004752	 103.973480
5670.0	 10.0	 15733.232035	 103.973319
5680.0	 10.0	 15705.557023	 103.973157
5690.0	 10.0	 15677.979202	 103.972997
5700.0	 10.0	 15650.498060	 103.972837
5710.0	 10.0	 15623.113091	 103.972677
5720.0	 10.0	 15595.823789	 103.972518
5730.0	 10.0	 15568.629656	 103.972360
5740.0	 10.0	 15541.530193	 103.972202
5750.0	 10.0	 15514.524907	 103.972045
5760.0	 10.0	 15487.613308	 103.971888
5770.0	 10.0	 15460.794910	 103.971732
5780.0	 10.0	 15434.069229	 103.971577
5790.0	 10.0	 15407.435785	 103.971422
5800.0	 10.0	 15380.894102	 103.971267
5810.0	 10.0	 15354.443706	 103.971113
5820.0	 10.0	 15328.084126	 103.970960
5830.0	 10.0	 15301.814897	 103.970807
5840.0	 10.0	 15275.635554	 103.970654
5850.0	 10.0	 15249.545636	 103.970502
5860.0	 10.0	 15223.544687	 103.970351
5870.0	 10.0	 15197.632252	 103.970200
5880.0	 10.0	 15171.807879	 103.970050
5890.0	 10.0	 15146.071121	 103.969900
5900.0	 10.0	 15120.421533	 103.969751
5910.0	 10.0	 15094.858671	 103.969602
5920.0	 10.0	 15069.382099	 103.969453
5930.0	 10.0	 15043.991378	 103.969306
5940.0	 10.0	 15018.686076	 103.969158
5950.0	 10.0	 14993.465762	 103.969011
5960.0	 10.0	 14968.330010	 103.968865
5970.0	 10.0	 14943.278394	 103.968719
5980.0	 10.0	 14918.310493	 103.968574
5990.0	 10.0	 14893.425888	 103.968429
6000.0	 10.0	 14868.624162	 103.968284
6010.0	 10.0	 14843.904903	 103.968141
6020.0	 10.0	 14819.267699	 103.967997
6030.0	 10.0	 14794.712143	 103.967854
6040.0	 10.0	 14770.237830	 103.967712
6050.0	 10.0	 14745.844357	 103.967570
6060.0	 10.0	 14721.531325	 103.967428
6070.0	 10.0	 14697.298335	 103.967287
6080.0	 10.0	 14673.144993	 103.967146
6090.0	 10.0	 14649.070908	 103.967006
6100.0	 10.0	 14625.075690	 103.966867
